English, Icelandic, Section, Book
reaction, viðbragð, chapter 5,Benjamín Dúfa
to growl, urra, chapter 5,Benjamín Dúfa
to hiss, hvæsa, chapter 5,Benjamín Dúfa
delicately, fimlega, chapter 5,Benjamín Dúfa
shore, fjara, chapter 6,Benjamín Dúfa
fire, bál, chapter 6,Benjamín Dúfa
in need, áttu bágt, chapter 6,Benjamín Dúfa
to revive, lífga, chapter 6,Benjamín Dúfa
to echo, bermála, chapter 6,Benjamín Dúfa
spark, neistaflug, chapter 6,Benjamín Dúfa
velvet, flauel, chapter 7,Benjamín Dúfa
two-story, tvílyftur, chapter 1,Benjamín Dúfa
to cry, grenja, chapter 7,Benjamín Dúfa
the blow, höggið, chapter 7,Benjamín Dúfa
battle, bardagi, chapter 7,Benjamín Dúfa
drunkard, fyllibytta, chapter 8,Benjamín Dúfa
total darkness, kolniðamyrkur, chapter 8,Benjamín Dúfa
glinted, glitti, chapter 8,Benjamín Dúfa
beaten, laminn, chapter 8,Benjamín Dúfa
scoundrel, fantur, chapter 8,Benjamín Dúfa
smart, snidugt, chapter 8,Benjamín Dúfa
narrative, frasögnin, chapter 10,Benjamín Dúfa
happiness, sæla, chapter 10,Benjamín Dúfa
spurt, bunu, chapter 10,Benjamín Dúfa
nicknamed, uppnefndu, chapter 10,Benjamín Dúfa
giggling, skríkjandi, chapter 10,Benjamín Dúfa
fear, ógnin, chapter 10,Benjamín Dúfa
invincible, ósigrandi, chapter 10,Benjamín Dúfa
seems, virtist, chapter 10,Benjamín Dúfa
always, ávallt, chapter 10,Benjamín Dúfa
motorscooter, skellinöðruna, chapter 10,Benjamín Dúfa
polished, bónað, chapter 10,Benjamín Dúfa
neighborhood, grennd, chapter 10,Benjamín Dúfa
premonition, hugboð, chapter 11,Benjamín Dúfa
ready, viðbúinn, chapter 11,Benjamín Dúfa
jolted, hrökk, chapter 11,Benjamín Dúfa
wide-awake, glaðvaknaði, chapter 11,Benjamín Dúfa
paralyzed, lamaðist, chapter 11,Benjamín Dúfa
distance, fjarska, chapter 11,Benjamín Dúfa
break free, sleit, chapter 11,Benjamín Dúfa
sentenced to die, dauðadæmd, chapter 11,Benjamín Dúfa
grind, gnísti, chapter 11,Benjamín Dúfa
flame, logana, chapter 11,Benjamín Dúfa
pile, hrúgu, chapter 11,Benjamín Dúfa
brave, hugprúður, chapter 11,Benjamín Dúfa
suddenly, snögglega, chapter 11,Benjamín Dúfa
small pancake, lumma, chapter 11,Benjamín Dúfa
open, ber, chapter 14,Benjamín Dúfa
bat, kylfa, chapter 15,Benjamín Dúfa
stick, kylfa, chapter 15,Benjamín Dúfa
bow, hneigði, chapter 3, Oliver Twist
chimney sweep, sótari, chapter 3, Oliver Twist
fate, örlög, chapter 3, Oliver Twist
deathly pale, náfölt, chapter 3, Oliver Twist
the escape, flóttinn, chapter 6, Oliver Twist
fireplace, arinn, chapter 8, Oliver Twist
whistle, blístra, chapter 8, Oliver Twist
energetically, fjörlega, chapter 8, Oliver Twist
smugly, drýgindalega, chapter 8, Oliver Twist
all of one's possessions, aleiga, chapter 8, Oliver Twist
old age, elli, chapter 8, Oliver Twist
greedy, ágjarn, chapter 8, Oliver Twist
avaricious, nískur, chapter 8, Oliver Twist
must, hlyti, chapter 8, Oliver Twist
veneration, lotningu, chapter 8, Oliver Twist
bed,rekkja, chapter 8, Oliver Twist
sewage,skólp, chapter 8, Oliver Twist
surprising,flatt, chapter 8, Oliver Twist
uproarious,rokinn, chapter 8, Oliver Twist
become reasonable, vitkast, chapter 8, Oliver Twist
trot, skálma, chapter 8, Oliver Twist
immersed, niðursokkinn, chapter 8, Oliver Twist
Dodger,Hrappur, chapter 8, Oliver Twist
strangle, kyrki, chapter 12, Oliver Twist
rascal, þorparinn, chapter 12, Oliver Twist
pull, svipta, chapter 12,Oliver Twist
toasting fork,eldskörunginn,chapter 12,Oliver Twist
dripping wet,rennvotur,chapter 12,Oliver Twist
mistreat,misþyrma,chapter 12,Oliver Twist
disciple,lærisveinn,chapter 12,Oliver Twist
shakily,nötrandi,chapter 12,Oliver Twist
mischief,fláttaskap,chapter 12,Oliver Twist
amazing,þvílík,chapter 12,Oliver Twist
double-lock, tvílæsti,chapter 12,Oliver Twist
coach, áætlunarbíl, chapter 16,Oliver Twist
morning,árdegis,chapter 16,Oliver Twist
attest,votta,chapter 20,Oliver Twist
poultry,alifugla,chapter 20,Oliver Twist
livestock,búfé,chapter 20,Oliver Twist
chaos, þvögunni,chapter 20,Oliver Twist
vagabonds,farandlýður,chapter 20,Oliver Twist
difficult, örðugt,chapter 20,Oliver Twist
Lazy-legs,letihaugurinn,chapter 20,Oliver Twist
short distance,spöl,chapter 20,Oliver Twist
stop, nam staður,chapter 20,Oliver Twist
boy, snáði,chapter 20,Oliver Twist
sacks of products,vörusekki,chapter 20,Oliver Twist
threatening,ógnandi,chapter 20,Oliver Twist
gallows,gálgi,chapter 25,Oliver Twist
interrogation,yfirherslur,chapter 29,Oliver Twist
comfort,makindum,chapter 29,Oliver Twist
lady of the house,húsráðandinn,chapter 29,Oliver Twist
beginner,viðvaningur,chapter 29,Oliver Twist
solved,upplýst,chapter 29,Oliver Twist
gliding,svífandi,chapter 29,Oliver Twist
thoroughly,rækilega,chapter 29,Oliver Twist
shutters,hlerana,chapter 29,Oliver Twist
pitchfork,heykvísl,chapter 29,Oliver Twist
miss,ungfrú,chapter 29,Oliver Twist
justice,réttvísi,chapter 29,Oliver Twist
agreed upon,umsamið,chapter 29,Oliver Twist
unpleasant,óviðfelldinn,chapter 34,Oliver Twist
late,framorðið,chapter 36,Oliver Twist
lunacy,vitfirring,chapter 36,Oliver Twist
childhood,bernska,chapter 6,Í þágu barnsins
suite,svíta,chapter 6,Í þágu barnsins
spyware,hlerunartæki,chapter 6,Í þágu barnsins
cautious,varkár,chapter 6,Í þágu barnsins
deceive,blekkja,chapter 6,Í þágu barnsins
quiet,næði,chapter 6,Í þágu barnsins
conceal,fela,chapter 6,Í þágu barnsins
shreds,tætlurnar,chapter 6,Í þágu barnsins
beast,skíthæll,chapter 6,Í þágu barnsins
cause,verki,chapter 6,Í þágu barnsins
chest of drawers,kommóða,chapter 7,Í þágu barnsins
ranch,búgarður,chapter 7,Í þágu barnsins
arrangement,ráðstafanir,chapter 7,Í þágu barnsins
sex,samfarir,chapter 7,Í þágu barnsins
caresses,atlot,chapter 7,Í þágu barnsins
passion,ástríðan,chapter 7,Í þágu barnsins
lacklusterly,dauflega,chapter 7,Í þágu barnsins
sexual intercourse,kynmök,chapter 7,Í þágu barnsins
irritate,áreiti,chapter 7,Í þágu barnsins
wonder,furða,chapter 7,Í þágu barnsins
drive-in theater,útibíó,chapter 12,Í þágu barnsins
belonged,tilheyrði,chapter 12,Í þágu barnsins
icy cold,svellkaldur,chapter 12,Í þágu barnsins
irritated,ergileg,chapter 12,Í þágu barnsins
uneasy,órótt,chapter 12,Í þágu barnsins
confused,ráðvilltur,chapter 12,Í þágu barnsins
extreme weather, veðurofsanum,chapter 12,Í þágu barnsins
involved,viðriðin,chapter 12,Í þágu barnsins
cursed,formælti,chapter 12,Í þágu barnsins
dumbfounded,agndofa,chapter 13,Í þágu barnsins
trap,gildra,chapter 13,Í þágu barnsins
be lowered slowly, síga,chapter 13,Í þágu barnsins
to shove,stjakaði,chapter 13,Í þágu barnsins
threatening letter,hótunarbréf,chapter 13,Í þágu barnsins
chemical weapon,efnavopn,chapter 13,Í þágu barnsins
whistling,gnauðið,chapter 13,Í þágu barnsins
click,smell,chapter 13,Í þágu barnsins
nuisance,trafala,chapter 13,Í þágu barnsins
skin,hörunds,chapter 13,Í þágu barnsins
epileptic fit,flogaveikikast,chapter 16,Í þágu barnsins
didn't like the look of it,leist ekki á blikuna,chapter 19,Í þágu barnsins
staged,setja á svið,chapter 19,Í þágu barnsins
culprit,sökudólganir,chapter 19,Í þágu barnsins
reproach,álasað,chapter 19,Í þágu barnsins
attend to,hjúfraði,chapter 19,Í þágu barnsins
considered,þóttist,chapter 19,Í þágu barnsins
undoubtedly,eflaust,chapter 19,Í þágu barnsins
know,kunni,chapter 19,Í þágu barnsins
vitreous,glerkenndur,An Immodest Proposal, Middlesex
caiques,seglskip,An Immodest Proposal, Middlesex
villa,sveitasetur,An Immodest Proposal, Middlesex
peignoirs,morgunklæðnaður,An Immodest Proposal, Middlesex
mohair,angóraull,An Immodest Proposal, Middlesex
elegiac,harmljóðlegur,An Immodest Proposal, Middlesex
rebetika,gríska tonlist,An Immodest Proposal, Middlesex
craps,sjö-ellefu,An Immodest Proposal, Middlesex
fez,tyrknesk húfa,An Immodest Proposal, Middlesex
abundant,gnótt,chapter 1, Lúin bein
oxygen,súrefnis,chapter 1, Lúin bein
fireproof,eldtraustu,chapter 1, Lúin bein
haste,óðagoti,chapter 1, Lúin bein
authoritatively,munduglega,chapter 1, Lúin bein
spout,stútnum,chapter 1, Lúin bein
dare,dirfðist,chapter 1, Lúin bein
compete,kapp,chapter 1, Lúin bein
scratch,skein,chapter 1, Lúin bein
action movie,hasarmyndir,chapter 1, Lúin bein
stones,grjóti,Fyrsti hluti: 3,Lúin bein
dump,haugur,Fyrsti hluti: 3, Lúin bein
bile,gall,Fyrsti hluti: 3, Lúin bein
fate,afdrif,Fyrsti hluti: 3, Lúin bein
rusted,ryðgað,Fyrsti hluti: 3, Lúin bein
gifted craftsman,völundur,Fyrsti hluti: 3, Lúin bein
doubtful,efablöndnum,Fyrsti hluti: 3,Lúin bein
fighting game,slagsmálaleik,Fyrsti hluti: 3, Lúin bein
wordless from surprise,hvumsa,Fyrsti hluti: 3, Lúin bein
drama,leiklist,Fyrsti hluti: 3, Lúin bein
small chest,skrín,Fyrsti hluti: 5, Lúin bein
well done,veldonn,Fyrsti hluti: 7, Lúin bein
pathologist,meinafræðingur,Annar hluti: 1, Lúin bein
cloth,dúkur,Annar hluti: 1, Lúin bein
luster,slikja,Annar hluti: 1, Lúin bein
holiness,helgidóminn,Annar hluti: 1, Lúin bein
edge,barmur,Annar hluti: 1, Lúin bein
fuss,uppistand,Annar hluti: 1, Lúin bein
wasting,tærst,Annar hluti: 1, Lúin bein
dispute,véfengja,Annar hluti: 1, Lúin bein
niche,kima,Annar hluti: 1, Lúin bein
cannister,dolla,Annar hluti: 13, Lúin bein
infamous,alræmt,Annar hluti: 14, Lúin bein
spray,úða,Annar hluti: 14, Lúin bein
mourn,sútar,Annar hluti: 14, Lúin bein
court,hirð,Annar hluti: 14, Lúin bein
gesticulation,handapati,Annar hluti: 14, Lúin bein
partition,skilrúmið,Annar hluti: 14, Lúin bein
gauze,grisju,Annar hluti: 20, Lúin bein
some,fáeinar,Annar hluti: 20, Lúin bein
pilfer,nappa,Annar hluti: 20, Lúin bein
barren moor,móinn,Annar hluti: 20, Lúin bein
rinse,skoli,Annar hluti: 20, Lúin bein
torturous,pínandi,Annar hluti: 20, Lúin bein
lackey,skósveinninn,Annar hluti: 20, Lúin bein
wretchedly,eyrmdarlega,Annar hluti: 20, Lúin bein
wriggle,brölti,Þriðji hluti: 1, Lúin bein
rag,pjatla,Þriðji hluti: 1, Lúin bein
sleeve,pokahorn,Þriðji hluti: 2, Lúin bein
antipathy,andúð,Chapter 4, Ronja ræningjadóttir
wool-like,ullarkennd, Chapter 4, Ronja ræningjadóttir
roll,valt,Chapter 4, Ronja ræningjadóttir
footpath,troðninga,Chapter 4, Ronja ræningjadóttir
fearful,smeykur,Chapter 4, Ronja ræningjadóttir
length of the rope,reipisfjarlægð, Chapter 4, Ronja ræningjadóttir
tighten,herða,Chapter 4, Ronja ræningjadóttir
thong,skinnþvengnum, Chapter 4, Ronja ræningjadóttir
at once,jafnskjótt,Chapter 4, Ronja ræningjadóttir
crashed,skollið,Chapter 4, Ronja ræningjadóttir
moment, stundarkorn,Chapter 5, Ronja ræningjadóttir
twig,kvist,Chapter 5, Ronja ræningjadóttir
be ashamed,blygðast,Chapter 5, Ronja ræningjadóttir
bedtime,háttatími,Chapter 5, Ronja ræningjadóttir
dissenter,ættleri,Chapter 5, Ronja ræningjadóttir
watery,vætusamt, Chapter 5, Ronja ræningjadóttir
shortage,þrot,Chapter 7, Ronja ræningjadóttir
avarice,áfergja,Chapter 7, Ronja ræningjadóttir
go hungry,svelta,Chapter 7, Ronja ræningjadóttir
innerside of the roof,rjáfur,Chapter 7, Ronja ræningjadóttir
starved,soltinn,Chapter 7, Ronja ræningjadóttir
rope ladder,kaðalstiga,Chapter 7, Ronja ræningjadóttir
comb,kemba,Chapter 7, Ronja ræningjadóttir
wretch,óféti,Chapter 9, Ronja ræningjadóttir
wretchedness,eymd,Chapter 10, Ronja ræningjadóttir
wretchedness,volæði,Chapter 10, Ronja ræningjadóttir
grave,þungbúinn,Chapter 10, Ronja ræningjadóttir
stare,góna,Chapter 10, Ronja ræningjadóttir
objection,múður,Chapter 10, Ronja ræningjadóttir
quick glance,skotra,Chapter 10, Ronja ræningjadóttir
brusquely,hranalega,Chapter 10, Ronja ræningjadóttir
visit,vitja,Chapter 12, Ronja ræningjadóttir
cuckoo,gaukurinn,Chapter 12, Ronja ræningjadóttir
