English,Icelandic
cash,
cash equivalents,
sjóðstreymi,
IAS,
provisions,skuldbinding
,óvissum skuldum
,óvissum eignum
liability, skuld
liabilities,skuldir
settle, að gera upp
greiðsla,fjármuna
,málaferlum
,ábyrgðamál
,skaðabótamál
options,afleiðing
,áreiðanlegt
,ákvörðunarferlið
best estimate, matskennd fjáhæð
,meiriháttar
,bakfærð
endurskipulagningar,restructuring
framkvæmd,programme
nafnvextir
nafnverð bréfs
carrying value of the bond,bókfært verð af skulduna
market price, markaðsverð
market rate, markaðsverð
premium,
nafnverð,par value,
discount,afslattur
interest,vextir
effective interest,virkir vextir
effective interst method - present value amortization
höfuðstóls
notes payable, nýja lánið
afföll
SPE - special purpose entity
samstlðureiknings
equation,kennitölur
lemma,kennitölur
algorithm,kennitölur
comprehensive income,heildarafkoma
hedge accounting,áhættuvarnir
