Icelandic,English
siðlaus,immoral
félagsvísindi,social science
raunvísindi,natural science
rifting,annulment
skírnarsáttmálanum,baptismal vows
Helförin,The Holocaust
Aðskilnaðarstefnan,Apartheid
þrælahald,slavery
réttarkerfi,justice system
stjórnsýslu,administration
réttarheimildirnar,
rekstri,management
öðlist,obtain
álitamál,matter of opinion
færni,skill
fjölmiðlaumfjöllun,media discussion topics
fjölmiðlaumföllun,media talking points
líkja,imitate
brotlegt,guilty
fjölsóttum,frequently visited
höfuðflokka,main categories
innbyrðis,on board
innbyrðis,between
innbyrðis,mutual
innbyrðis,internal
innbyrðis,among
réttarfar,legal procedure
réttarfar,procedural law
dómstólasýslan,The Judicial Administration
starfsemi,functioning
starfsemi,activities
áfrýjunar,appeal
málsforræðisregla,
lögpersónur,
leiða,supply
héraði,district
réttarágreiningi,
sakamál,criminal case
höfðar,start legal proceedings
gagnaðilinn,opposing party
stefnt,subpeona
stefndi,defendant
ágreiningur,dispute
skýrslur,account
skýrslur,report
skjöl,documents
fjárnám,attachment
látlaust,continuous
örorku,disability
heilsubrests,health problems
nýttir,utilize
fyrirtöku,procedure
fyrirtöku,proceedings
þinglýs,public registration
veðbönd,mortgage
nauðungarsölu,repossession
nauðungarsölu,foreclosure
vanskilaskrá,arrears register
veðbönd,lien
þiggja,receive
þiggja,accept
forsjá, foresight
forsjá,prudence
forsjá,supervision
forsjá,responsibility
forsjá,custody
forsjá,caution
fjárhald,trust
sameiginlega,jointly
sameiginlega,mutually
umboð,power of attorney
umboð,authority
veita, grant
veita,give
veita,offer
afturkalla, revoke
afturkala,annul
afturkalla,recall
viðtöku,welcome
viðtöku,reception
viðtöku,accept
viðtöku,receive
veita viðtöku,granted temporary ownership
yfirlögráðanda,guardian in charge
ófjárráða,financially incapable
FIT = færslur innistæðulausra tékka gjald, overdraft fee
svipta,take away
síhringikort, continuous calling money card
neytandi,consumer
vátryggingar,insurance
sifjaréttarkröfur,family law claims
eigi að láta í té, hand over
eigi að láta í té, grant
mergð,mass
mergð, crowd
efna,carry out
efna,keep a promise
dómasafni, register of judgements
töfinni, delay
töfinni, postponement
farmskirteini,bill of lading
farmskirteini, register of goods being carried and under which terms
vísitala,index
o.þ.h., and things like that
og þess háttar, and things like that
gengi,rate of exchange
dráttarvextir,interest on arrears
vanefndaálag,default surcharge
framsal,transfer
framsal,extradition
grandlaus,unsuspecting
viðskiptabréf,commercial paper
viðskiptabréf,negotiable document
gjaldfella,call in (a loan)
mótbárur,objections
víxill, bill of exchange
ábekingar,endorser
skuldaröðinni,creditor hierarchy
aðfarar,writ of execution
fyrning, nullification
greiðslubanki, cash agent
hegningarlögum, penal code
strikun,
áritun, signature
raðgreiðslusamingur,installments agreement
veði, collateral
afmá, wipe out
afmá, obliterate
bú, estate
þ.m.t. þar með talinn,
solidarísk, in solidum
solidarísk, in total
solidarísk, jointly
solidarísk, as a whole
not,use
fjárnáms, attachment
fjárnáms, repossession
kvaðalausa, liability less
kvaðalausa, free and clear
annmarkana, defect
aðfararveð, statutory lien
heimilarbrest,
umráð, disposal
kyrrsetningar,seizure
útstrikun,cross out
veðandlaginu,
handveði,
vörureikningsveði, factoring
séð,appropriate
útflutning,export
markaðsráðandi,dominant
samruni,merger
farist,perish
rýrni,deterioration
sýknaður,acquit
hjúskap,marriage
kaupmála,contract
einokunarstöðu,monopolistic position
iðnríkjum,industrial nation
úrskurðar,verdict
úrskurðar,decision
áfryja,appeal
samstarfssamningur um einkaleyfi,patent Cooperation Treaty (PCT)
nýnæmi,something new
frágang,workmanship
verulegar,substantial
hliðsjón,take into consideration
yfirvofandi,
lén,domain
umdæmi,domain
yrki,
í senn,
rak,
alþjóðþegum samningi um vernd nýrra yrkja, (IPOV - samningnum) International Convention for the Protection of New Varieties of Plants
viðskiptasérleyfi,franchising
eignaleiga,leasing
einkahlutafélag (ehf),
hlutafélag (hf),
sameignarfélag (sf),
samlagsfélag (slf), pooling society
löggjöf,legislation
firma,firm
tillög þeirra ná, suggestion of their take
refsivert,punishable
lútandi,dissolution
ályktun,resolution
viðskipti,dealings
umsömdum,revised
órjúfanlegur,foundational
EFTA-ríki,European Free Trade Association country
ráðningarsamningur,
þrotabú,bankrupt estate
umsamin,agreed
umsamin,understood
lakari,
meðlagsgreiðslur,maintenance payments
launþegar,salaried employee
skekkjur,deviation
skekkjur,error
hreppum,
alþýðu,the people
forysta,leadership
kaupauki,
sýndarfé,virtual currency
þrautavara,
freistnivandi,moral hazard
bólur,bubble
túlípanafárið,tulip bulb craze
