English,Icelandic
glæra,slide from a presentation
glæra,cornea of the eye
verkefni,assignment
verkefni,task
verkefni,project
samræmi,accordance
samræmi,agreement
sérhljóð,vowel
stöfnsérhljóð,stem vowel
tvíhljóð,diphthong
áherslulaus,unstressed
atkvæði,syllable
brottfall,elision
rifja upp,to review
rifja upp,to recount
rifja upp,to refresh one's memory
skáletur,italics
á ská,diagonally
á ská,obliquely
á ská,at an angle
á ská,skewed
við hliðina á,beside
við hliðina á,next to
áskorun,challenge
viðskeyti,suffix
tilbrigði,variant
tilbrigði,variation
svipað og,similar to
