English, Icelandic
spanked in the butt,taka í rassinn
sent shivers running down their spine, renni kalt vatn milli skinns og hörunds
behind the scenes,bak við tjöldin
to find a needle in a haystack,að finna saumnál í heystakki
let the cat out of the bag,leysa frá skjóðunni
make a mountain out of a molehill,gera úlfalda úr mýflugu
to not be honest,hafa óhreint mjöl í pokahorninu
draw a quick breath as when surprised,súpa hveljur
wash our hands of him, láta sigla sinn sjó
rest,kasta mæðinni
to squander,kasta á glæ
to be reprimanded,taka á beinið
keep out,aðgangur bannaður
stay out,aðgangur bannaður
unexpected good fortune,rúsínan í pylsuendanu
search in every nook and cranny,leita dauðaleit
done for now, búið í bili
out of stock,búið i bili
