exploratory data analysis,gagnakönnun
robust,harðgerðar
outliers,einförum
central tendency,miðsækni
mean,meðaltal
median,miðgildi
mode,tíðasta gildi
statistic,mælitala
range,spönn
variance,dreifitala
standard deviation,staðalfrávik
Chi-square,kí-kvaðrat
Spearman’s rho,raðfylgnistuðul
Pearson’s r,fylgnistuðul Pearsons
multiple regression,fjölbreytuaðhvarfsgreiningu
Sample,úrtak
Population,þýði
Significance tests,marktektarpróf
Null hypothesis,núlltilgátan
Type I error,höfnunarmistök
Type II error,fastheldnismistök
Power,styrk
One sample t-test,t-prófi eins úrtaks
2 independent sample t-test,t-próf tveggja óháðra úrtaka
2 dependent sample t-test,t-próf tveggja háðra úrtaka
2 paired sample t-test,t-próf tveggja háðra úrtaka
Analysis of variance,dreifigreining
Multiple comparisons,margföldum samanburði
Factor analysis, þáttagreiningu
multivariate statistics,margbreytitölfræði
acquiescence,samþykkishneigðar
spam filters,ruslpóstsía
confidentiality,trúnaður
anonymity,nafnleynd
