ostracize,útskúfa,page 9, Vertu úlfur
activity,iðja,page 12, Vertu úlfur
work,iðja,page 12, Vertu úlfur
project,iðja,page 12, Vertu úlfur
open minded, hugsunin víðfeðm, page 15, Vertu úlfur
feed,mata, page 16, Vertu úlfur
was in the mood,var í hamnum,page 17, Vertu úlfur
stimulus,áreiti,page 18, Vertu úlfur
exhausted look,þreytusvipinn,page 18, Vertu úlfur
mental disorder,geðröskun,page 20, Vertu úlfur
honor,upphefð,page 24, Vertu úlfur
by all accounts,í hvívetna, page 25, Vertu úlfur
mental sensitivity, geðnæmnin,page 26, Vertu úlfur
fluctuate,sveiflast,page 26, Vertu úlfur
mindset,þekjandi,page 26, Vertu úlfur
outer garment,yfirhöfnina,page 26, Vertu úlfur
cover,hylja,page 26, Vertu úlfur
embroidered,bróderaður,page 26, Vertu úlfur
enigmatic,óræðum,page 26, Vertu úlfur
body,skrokkurinn,page 26, Vertu úlfur
